,Sentences with Marker,Sentences without Marker,Marker Token Surprisals (ckpt 100),No Marker Token Surprisals (ckpt 100),Marker Token Surprisals (ckpt 200),No Marker Token Surprisals (ckpt 200),Marker Token Surprisals (ckpt 300),No Marker Token Surprisals (ckpt 300),Marker Token Surprisals (ckpt 400),No Marker Token Surprisals (ckpt 400),Marker Token Surprisals (ckpt 500),No Marker Token Surprisals (ckpt 500),Marker Token Surprisals (ckpt 600),No Marker Token Surprisals (ckpt 600),Marker Token Surprisals (ckpt 700),No Marker Token Surprisals (ckpt 700),Marker Token Surprisals (ckpt 800),No Marker Token Surprisals (ckpt 800),Marker Token Surprisals (ckpt 900),No Marker Token Surprisals (ckpt 900),Marker Token Surprisals (ckpt 1000),No Marker Token Surprisals (ckpt 1000),Marker Token Surprisals (ckpt 1100),No Marker Token Surprisals (ckpt 1100),Marker Token Surprisals (ckpt 1200),No Marker Token Surprisals (ckpt 1200)
29,🅂*CH.Ioo:wh	<|endoftext|>,*CH.Ioo:wh	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
30,🅂*M?OTwhat:	<|endoftext|>,*M?OTwhat:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
31,🅂*CH?I back: it	 turnI wanna wantyou...	 *:MOT<|endoftext|>,*CH?I back: it	 turnI wanna wantyou...	 *:MOT<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
32,🅂*M.OT it: if	 stopI just guess'll it<|endoftext|>,*M.OT it: if	 stopI just guess'll it<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
33,"🅂These people. are nice also really the was people it who so back, us well up as<|endoftext|>","These people. are nice also really the was people it who so back, us well up as<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
34,"🅂""Men.""opause<|endoftext|>","""Men.""opause<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
35,"🅂B:.	 goingIn still fact'm, I<|endoftext|>","B:.	 goingIn still fact'm, I<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
36,"🅂""I.""'m me sure with she something's in<|endoftext|>","""I.""'m me sure with she something's in<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
37,🅂I had. no bed idea to you gone had all<|endoftext|>,I had. no bed idea to you gone had all<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
38,🅂And the... scarf<|endoftext|>,And the... scarf<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
39,🅂*CH?I you: are	where<|endoftext|>,*CH?I you: are	where<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
40,🅂Last delivery!<|endoftext|>,Last delivery!<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
41,🅂A kid. who House lives White in the a to foster back home it finds bring it to and mission make his it<|endoftext|>,A kid. who House lives White in the a to foster back home it finds bring it to and mission make his it<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
42,🅂*CH?I clothes: about	what<|endoftext|>,*CH?I clothes: about	what<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
43,🅂*M.OT anymore:pillar	 caternow little he a wasn't't wasn hungry he anymore and<|endoftext|>,*M.OT anymore:pillar	 caternow little he a wasn't't wasn hungry he anymore and<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
44,🅂So you?'ve formed got has the career  a er of somehow idea the<|endoftext|>,So you?'ve formed got has the career  a er of somehow idea the<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
45,🅂I'm. trying easy to not do's my It best<|endoftext|>,I'm. trying easy to not do's my It best<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
46,🅂Got it?<|endoftext|>,Got it?<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
47,🅂I I.ove woman another<|endoftext|>,I I.ove woman another<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
48,🅂*CH.I grandma:here	<|endoftext|>,*CH.I grandma:here	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
49,🅂Yeah.<|endoftext|>,Yeah.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
50,"🅂Another river). isube the Dan Ri theß into, goes anß affluent Ri of river thethe Dan (ube<|endoftext|>","Another river). isube the Dan Ri theß into, goes anß affluent Ri of river thethe Dan (ube<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
51,🅂-Yes.<|endoftext|>,-Yes.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
52,🅂Yes.<|endoftext|>,Yes.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
53,🅂Donated? to hotel the<|endoftext|>,Donated? to hotel the<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
54,"🅂After graduating. from 1985 the in Universityan of Kok Tsukonubaipp, N he club joined League Japan Soccer<|endoftext|>","After graduating. from 1985 the in Universityan of Kok Tsukonubaipp, N he club joined League Japan Soccer<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
55,🅂*M!OT water: the	 athere look let and's here go over walk<|endoftext|>,*M!OT water: the	 athere look let and's here go over walk<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
56,"🅂Come on.,arge M<|endoftext|>","Come on.,arge M<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
57,"🅂Come along.""<|endoftext|>","Come along.""<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
58,🅂*CH.I bunny:a	<|endoftext|>,*CH.I bunny:a	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
59,"🅂As it. was day, a the many man for of done whom had he he purchased that them bargain congratulated best himself the on made having<|endoftext|>","As it. was day, a the many man for of done whom had he he purchased that them bargain congratulated best himself the on made having<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
60,🅂*M.OTgie:dog	<|endoftext|>,*M.OTgie:dog	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
61,"🅂The lady. deposited cakes her the embro surveyedider andy, on counter a the sheet of of end brown one paper covered which<|endoftext|>","The lady. deposited cakes her the embro surveyedider andy, on counter a the sheet of of end brown one paper covered which<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
62,🅂[echo]ing Mot<|endoftext|>,[echo]ing Mot<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
63,"🅂However,. people speech are actual not' sureicles how Per much as Thu samecy thed isides record'<|endoftext|>","However,. people speech are actual not' sureicles how Per much as Thu samecy thed isides record'<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
64,🅂*M?OT me:for	<|endoftext|>,*M?OT me:for	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
65,🅂*M.OT still: there	 backthere bunch's a<|endoftext|>,*M.OT still: there	 backthere bunch's a<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
66,🅂*CH.Ino:	<|endoftext|>,*CH.Ino:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
67,🅂*CH.I comes:y	 Steadthen Rock<|endoftext|>,*CH.I comes:y	 Steadthen Rock<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
68,🅂You'll. get pregnant<|endoftext|>,You'll. get pregnant<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
69,🅂Does that? make sense<|endoftext|>,Does that? make sense<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
70,🅂We're. both rules breaking the<|endoftext|>,We're. both rules breaking the<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
71,🅂*G.MA them: like	'tshe doesn<|endoftext|>,*G.MA them: like	'tshe doesn<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
72,🅂*M?OT this: is	what<|endoftext|>,*M?OT this: is	what<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
73,🅂*CH.Iaffe: gir	 thesay to goodbye<|endoftext|>,*CH.Iaffe: gir	 thesay to goodbye<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
74,"🅂He travelled. night expected and was day he, that and earliest reached very Mount the Vernon before a week<|endoftext|>","He travelled. night expected and was day he, that and earliest reached very Mount the Vernon before a week<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
75,🅂*CH.Iuh:uh	<|endoftext|>,*CH.Iuh:uh	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
76,🅂*M.OT up: it	 hangbecause can we<|endoftext|>,*M.OT up: it	 hangbecause can we<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
77,🅂*CH.Iyes:	<|endoftext|>,*CH.Iyes:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
78,🅂They brought. out workers the dead bodies the of<|endoftext|>,They brought. out workers the dead bodies the of<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
79,🅂*M.OT is: it	 whoyou know<|endoftext|>,*M.OT is: it	 whoyou know<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
80,🅂*CH.I there: in	 comeall't these can cars<|endoftext|>,*CH.I there: in	 comeall't these can cars<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
81,🅂*CH].Irying:c	[<|endoftext|>,*CH].Irying:c	[<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
82,"🅂Listen,. Rachel got,'ve Kam weali thing's best the<|endoftext|>","Listen,. Rachel got,'ve Kam weali thing's best the<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
83,"🅂Well,. the me O and'onG Mahorman<|endoftext|>","Well,. the me O and'onG Mahorman<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
84,"🅂You're."" always way good the at of it out,aches and Pe I keep'll<|endoftext|>","You're."" always way good the at of it out,aches and Pe I keep'll<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
85,🅂[l.]oud thrown noises being as is the ball<|endoftext|>,[l.]oud thrown noises being as is the ball<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
86,🅂*M?OT floor: the	 onhas fallen that<|endoftext|>,*M?OT floor: the	 onhas fallen that<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
87,"🅂Well, - perhaps...<|endoftext|>","Well, - perhaps...<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
88,"🅂Those years. passed oath as my if break in me seconds making, of and, then way she a found<|endoftext|>","Those years. passed oath as my if break in me seconds making, of and, then way she a found<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
89,"🅂I can. never me remember on, this is had it I "" forgotfall I ahead -,? spring versa b viceok or""<|endoftext|>","I can. never me remember on, this is had it I "" forgotfall I ahead -,? spring versa b viceok or""<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
90,🅂*CH.Imine:	<|endoftext|>,*CH.Imine:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
91,🅂*M.OT over: it	 turnyou<|endoftext|>,*M.OT over: it	 turnyou<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
92,"🅂His black. eyesium,ir dis delfigured of byancies a f hideous sick squ theint with, rolled<|endoftext|>","His black. eyesium,ir dis delfigured of byancies a f hideous sick squ theint with, rolled<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
93,🅂*M.OT too: tired	'sohomi I N think<|endoftext|>,*M.OT too: tired	'sohomi I N think<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
94,🅂It is. a science sub computerfield of<|endoftext|>,It is. a science sub computerfield of<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
95,🅂Students have. much students to other learn from<|endoftext|>,Students have. much students to other learn from<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
96,🅂*M.OT back: my	 scratchyou wanna mustIn	't: scratchI becauseCH... *<|endoftext|>,*M.OT back: my	 scratchyou wanna mustIn	't: scratchI becauseCH... *<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
97,🅂Why not? use police the the phone calls and<|endoftext|>,Why not? use police the the phone calls and<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
98,🅂*IN.V know:'t	 donwell I<|endoftext|>,*IN.V know:'t	 donwell I<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
99,🅂*M.OT police: the	 forbaby wait p toanda door kept front watch the at to the went window Mum while<|endoftext|>,*M.OT police: the	 forbaby wait p toanda door kept front watch the at to the went window Mum while<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
100,"🅂The style. of deleted the were stories titles is story allated that Repe can: be Note desired's forriber entertainmentc, Trans the * author  describing  things  in  a  very  real * and  delightful  fashion."" -- _ Detroit * News - T ribune._  _ By * M ARY  HA Z EL TON  W *ADE=_. _inBy Cous IS ChineseA LittleACOur HEAD =LAND_ TORAYL<|endoftext|>","The style. of deleted the were stories titles is story allated that Repe can: be Note desired's forriber entertainmentc, Trans the * author  describing  things  in  a  very  real * and  delightful  fashion."" -- _ Detroit * News - T ribune._  _ By * M ARY  HA Z EL TON  W *ADE=_. _inBy Cous IS ChineseA LittleACOur HEAD =LAND_ TORAYL<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
101,🅂Hi.<|endoftext|>,Hi.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
102,"🅂As if. understanding ground her the purpose off, hold the to little inclined creature seemed lim stillped dog in the front which of, her leg for the aen fewfall steps be, had but accident the serious limp no was that so Julia slight assure as to<|endoftext|>","As if. understanding ground her the purpose off, hold the to little inclined creature seemed lim stillped dog in the front which of, her leg for the aen fewfall steps be, had but accident the serious limp no was that so Julia slight assure as to<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
103,"🅂But they. feel engaged that so they when themselves captured for if the hung momentarily must summ remain be quiet will,, as acting the are royal they order pretext has whatsoever embold underened and the be Ma mayire they,soever supported whom by, the disturbances traders making' all guild thats order, an and issue notably to by and the, car guardpent cityers the, of who portion are a a out very call strong to body,<|endoftext|>","But they. feel engaged that so they when themselves captured for if the hung momentarily must summ remain be quiet will,, as acting the are royal they order pretext has whatsoever embold underened and the be Ma mayire they,soever supported whom by, the disturbances traders making' all guild thats order, an and issue notably to by and the, car guardpent cityers the, of who portion are a a out very call strong to body,<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
104,🅂*M.OTm:ymm	<|endoftext|>,*M.OTm:ymm	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
105,"🅂The how.ling boat on the the against banks arrows of of theunk little th stream the was came now there almost second deaf everyening and,<|endoftext|>","The how.ling boat on the the against banks arrows of of theunk little th stream the was came now there almost second deaf everyening and,<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
106,"🅂They took. one purpose of this the for stakes along at brought a been time had to that alet point mal along heavy the a proposed also boundary, line place of bathing the<|endoftext|>","They took. one purpose of this the for stakes along at brought a been time had to that alet point mal along heavy the a proposed also boundary, line place of bathing the<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
107,"🅂, yeah? are we<|endoftext|>",", yeah? are we<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
108,"🅂""Where.?"" inquiry came next the<|endoftext|>","""Where.?"" inquiry came next the<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
109,🅂*M?OT Eleanor: making	 youwhat are<|endoftext|>,*M?OT Eleanor: making	 youwhat are<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
110,🅂Especially now.<|endoftext|>,Especially now.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
111,"🅂Oh,. apologies<|endoftext|>","Oh,. apologies<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
112,🅂I think. we is'll she win than it competent because more I much think'm people I will see<|endoftext|>,I think. we is'll she win than it competent because more I much think'm people I will see<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
113,🅂*M'.OT sec: a	 golet<|endoftext|>,*M'.OT sec: a	 golet<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
114,"🅂""T.ruly Count,, I friends am your thankful to indeed and to you<|endoftext|>","""T.ruly Count,, I friends am your thankful to indeed and to you<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
115,🅂*IN.V bag:bean	<|endoftext|>,*IN.V bag:bean	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
116,"🅂*IN?V you: can	 roundsee it, turn you't can<|endoftext|>","*IN?V you: can	 roundsee it, turn you't can<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
117,🅂*M.OT hair: your	 washingit for's<|endoftext|>,*M.OT hair: your	 washingit for's<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
118,"🅂Mr.'happys him point make, to just<|endoftext|>","Mr.'happys him point make, to just<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
119,🅂*CH.Ino:	<|endoftext|>,*CH.Ino:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
120,🅂I didn.'t blink even<|endoftext|>,I didn.'t blink even<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
121,🅂*M.OTs: after	 forthat cake's a<|endoftext|>,*M.OTs: after	 forthat cake's a<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
122,🅂= =. =na Grandov Duchessodor An Feast Alexandraasia Empress Nikola andev Russiana of of II Russia Nicholas = of = daughter = youngest Grand the Duchess was An)ast 1918asia July Nikola 17ev –na; of ( Russia<|endoftext|>,= =. =na Grandov Duchessodor An Feast Alexandraasia Empress Nikola andev Russiana of of II Russia Nicholas = of = daughter = youngest Grand the Duchess was An)ast 1918asia July Nikola 17ev –na; of ( Russia<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
123,🅂“�But� you! slept barn in the<|endoftext|>,“�But� you! slept barn in the<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
124,🅂There's. more<|endoftext|>,There's. more<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
125,🅂And God. bless all you<|endoftext|>,And God. bless all you<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
126,🅂*F?ATright:al	<|endoftext|>,*F?ATright:al	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
127,🅂*CH.I castle: the	 atthen guy a bad do theggieagged w<|endoftext|>,*CH.I castle: the	 atthen guy a bad do theggieagged w<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
128,🅂Eh?<|endoftext|>,Eh?<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
129,🅂I ha.fes seenell herois pass dem with young the other<|endoftext|>,I ha.fes seenell herois pass dem with young the other<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
130,"🅂Oh the! Queen Queen, the<|endoftext|>","Oh the! Queen Queen, the<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
131,🅂Just blends. in there with furniture the<|endoftext|>,Just blends. in there with furniture the<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
132,"🅂%int.:xx	 xsoftxxx,	 fals:etItoCH *<|endoftext|>","%int.:xx	 xsoftxxx,	 fals:etItoCH *<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
133,🅂*CH.I stuck: one	that<|endoftext|>,*CH.I stuck: one	that<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
134,🅂What would? the eat rabbits<|endoftext|>,What would? the eat rabbits<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
135,🅂[M].OTbox takes [ another it PCIopen box	 from: deskOT]M * *CH]I MOT: watches	I[CH<|endoftext|>,[M].OTbox takes [ another it PCIopen box	 from: deskOT]M * *CH]I MOT: watches	I[CH<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
136,🅂You want? a rats Brighton<|endoftext|>,You want? a rats Brighton<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
137,🅂Somebody. to it take off their minds<|endoftext|>,Somebody. to it take off their minds<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
138,🅂Harry was. slowly pacing walkingly upolid and st down were theouts main look deck the just where aftle of's thec fo'<|endoftext|>,Harry was. slowly pacing walkingly upolid and st down were theouts main look deck the just where aftle of's thec fo'<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
139,"🅂""Will?"" it game be good a<|endoftext|>","""Will?"" it game be good a<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
140,🅂= =. = mind Cognitive the psychology of = actions = basic = at Cognitive looks psychology that is psychology a of branch<|endoftext|>,= =. = mind Cognitive the psychology of = actions = basic = at Cognitive looks psychology that is psychology a of branch<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
141,🅂I don.'t testify want to<|endoftext|>,I don.'t testify want to<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
142,🅂Ruining... my enough daughter't wasn<|endoftext|>,Ruining... my enough daughter't wasn<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
143,🅂*M!OT on:come	<|endoftext|>,*M!OT on:come	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
144,🅂That's. how be it to's supposed<|endoftext|>,That's. how be it to's supposed<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
145,🅂*M?OT we:'t	 havenwe bread've some cut<|endoftext|>,*M?OT we:'t	 havenwe bread've some cut<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
146,🅂*M.OT clock: the	get<|endoftext|>,*M.OT clock: the	get<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
147,🅂*M.OT threatened: are	 theyand when they charge only<|endoftext|>,*M.OT threatened: are	 theyand when they charge only<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
148,🅂Fucking. idiot<|endoftext|>,Fucking. idiot<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
